make: *** No targets specified and no makefile found.  Stop.
 tf=    34247.0129433140      delt =   1.42695887263808     
 t =    218.324707513626       u.a phase =            0
 t =    219.751666386265       u.a phase =            0
 t =    221.178625258903       u.a phase =            0
 t =    222.605584131541       u.a phase =            0
 t =    224.032543004179       u.a phase =            0
 t =    225.459501876817       u.a phase =            0
 t =    226.886460749455       u.a phase =            0
 t =    228.313419622093       u.a phase =            0
 t =    229.740378494731       u.a phase =            0
 t =    231.167337367369       u.a phase =            0
 t =    232.594296240007       u.a phase =            0
 t =    234.021255112645       u.a phase =            0
 t =    235.448213985283       u.a phase =            0
 t =    236.875172857922       u.a phase =            0
 t =    238.302131730560       u.a phase =            0
 t =    239.729090603198       u.a phase =            0
 t =    241.156049475836       u.a phase =            0
 t =    242.583008348474       u.a phase =            0
 t =    244.009967221112       u.a phase =            0
 t =    245.436926093750       u.a phase =            0
 t =    246.863884966388       u.a phase =            0
 t =    248.290843839026       u.a phase =            0
 t =    249.717802711664       u.a phase =            0
 t =    251.144761584302       u.a phase =            0
 t =    252.571720456940       u.a phase =            0
 t =    253.998679329579       u.a phase =            0
 t =    255.425638202217       u.a phase =            0
 t =    256.852597074855       u.a phase =            0
 t =    258.279555947493       u.a phase =            0
 t =    259.706514820131       u.a phase =            0
 t =    261.133473692769       u.a phase =            0
 t =    262.560432565407       u.a phase =            0
 t =    263.987391438045       u.a phase =            0
 t =    265.414350310683       u.a phase =            0
 t =    266.841309183321       u.a phase =            0
 t =    268.268268055959       u.a phase =            0
 t =    269.695226928597       u.a phase =            0
 t =    271.122185801236       u.a phase =            0
 t =    272.549144673874       u.a phase =            0
 t =    273.976103546512       u.a phase =            0
 t =    275.403062419150       u.a phase =            0
 t =    276.830021291788       u.a phase =            0
 t =    278.256980164426       u.a phase =            0
 t =    279.683939037064       u.a phase =            0
 t =    281.110897909702       u.a phase =            0
 t =    282.537856782340       u.a phase =            0
 t =    283.964815654978       u.a phase =            0
 t =    285.391774527616       u.a phase =            0
 t =    286.818733400254       u.a phase =            0
 t =    288.245692272892       u.a phase =            0
 t =    289.672651145531       u.a phase =            0
 t =    291.099610018169       u.a phase =            0
 t =    292.526568890807       u.a phase =            0
 t =    293.953527763445       u.a phase =            0
 t =    295.380486636083       u.a phase =            0
 t =    296.807445508721       u.a phase =            0
 t =    298.234404381359       u.a phase =            0
 t =    299.661363253997       u.a phase =            0
 t =    301.088322126635       u.a phase =            0
 t =    302.515280999273       u.a phase =            0
 t =    303.942239871911       u.a phase =            0
 t =    305.369198744549       u.a phase =            0
 t =    306.796157617188       u.a phase =            0
 t =    308.223116489826       u.a phase =            0
 t =    309.650075362464       u.a phase =            0
 t =    311.077034235102       u.a phase =            0
 t =    312.503993107740       u.a phase =            0
 t =    313.930951980378       u.a phase =            0
 t =    315.357910853016       u.a phase =            0
 t =    316.784869725654       u.a phase =            0
 t =    318.211828598292       u.a phase =            0
 t =    319.638787470930       u.a phase =            0
 t =    321.065746343568       u.a phase =            0
 t =    322.492705216206       u.a phase =            0
 t =    323.919664088845       u.a phase =            0
 t =    325.346622961483       u.a phase =            0
 t =    326.773581834121       u.a phase =            0
 t =    328.200540706759       u.a phase =            0
 t =    329.627499579397       u.a phase =            0
 t =    331.054458452035       u.a phase =            0
 t =    332.481417324673       u.a phase =            0
 t =    333.908376197311       u.a phase =            0
 t =    335.335335069949       u.a phase =            0
 t =    336.762293942587       u.a phase =            0
 t =    338.189252815225       u.a phase =            0
 t =    339.616211687863       u.a phase =            0
 t =    341.043170560501       u.a phase =            0
 t =    342.470129433140       u.a phase =            0
 t =    343.897088305778       u.a phase =            0
 t =    345.324047178416       u.a phase =            0
 t =    346.751006051054       u.a phase =            0
 t =    348.177964923692       u.a phase =            0
 t =    349.604923796330       u.a phase =            0
 t =    351.031882668968       u.a phase =            0
 t =    352.458841541606       u.a phase =            0
 t =    353.885800414244       u.a phase =            0
 t =    355.312759286882       u.a phase =            0
 t =    356.739718159520       u.a phase =            0
 t =    358.166677032158       u.a phase =            0
 t =    359.593635904797       u.a phase =            0
 t =    361.020594777435       u.a phase =            0
 t =    362.447553650073       u.a phase =            0
